ID,성별,연령,학력,혼인상태,거주지역,직업,주업,직장지위,주5일근무제실시여부,차량보유여부,개인소득,소득분위,관광휴양여부,여행유형,월,계절,여행일수(박),여행총경비,지출비용포함인원수,1인지출비용,개인휴가사용여부,지역코드,시,숙박시설,여행활동1,여행활동2,여행활동3,여행활동4,여행활동5,주요이동교통수단,여행지선택이유_1순위,여행지선택이유_2순위,만족도_자연경관,만족도_문화유산,만족도_교통,만족도_식당및음식,만족도_쇼핑,만족도_관광정보및안내시설,만족도_관광지편의시설,만족도_지역관광종사자의친절성,만족도_체험프로그램,만족도_관광지물가,만족도_관광지혼잡도,전반적만족도,재방문의도,타인추천의도,총만족도
74,1,4,4,2,2,1,3,1,1,1,5,4,Y,4,8,2,1,590000,2,295000,0,4,인천광역시,1,Y,Y,N,N,Y,2,15,2,4,9,3,4,9,4,4,4,9,3,4,4,4,4,만족
78,1,6,4,2,2,1,3,1,1,1,6,3,Y,4,8,2,2,600000,4,150000,0,16,경상남도,2,Y,Y,N,N,Y,1,13,0,4,5,4,4,3,4,4,4,4,4,4,4,4,4,만족
79,1,5,4,2,2,1,3,1,1,1,4,3,Y,4,9,3,0,30000,1,30000,0,16,경상남도,0,N,N,N,N,N,1,11,0,9,9,4,9,9,4,4,4,9,4,4,4,4,3,만족
82,1,3,4,1,2,1,3,1,1,1,3,3,Y,4,12,4,0,48200,1,48200,0,7,울산광역시,0,N,N,N,N,N,1,11,0,3,3,4,4,9,4,4,4,9,4,4,3,4,3,만족
84,1,3,4,1,2,1,3,1,1,1,4,3,Y,4,1,4,0,191000,2,95500,0,6,대전광역시,0,N,Y,N,N,Y,10,13,5,9,9,4,5,9,3,4,4,4,3,4,4,4,4,만족
85,1,4,4,2,2,1,3,1,2,1,5,3,Y,4,1,4,0,298000,2,149000,0,1,서울특별시,0,N,Y,N,Y,Y,2,13,14,9,9,3,4,4,4,4,4,3,4,3,4,4,4,만족
86,2,4,4,1,2,1,3,1,1,1,3,2,Y,4,3,1,0,50000,1,50000,0,3,대구광역시,0,N,N,N,N,Y,1,15,0,9,9,4,4,9,9,9,9,9,4,4,3,4,3,만족
88,1,4,4,2,2,1,3,1,1,1,4,3,Y,4,7,2,0,60000,2,30000,0,16,경상남도,0,N,N,N,N,Y,1,13,0,4,4,4,5,9,4,4,4,9,4,5,3,4,3,만족
90,1,5,4,2,2,1,3,1,2,1,5,3,Y,4,6,2,0,103100,1,103100,0,6,대전광역시,0,N,N,N,N,Y,1,10,11,9,9,3,4,9,3,4,4,4,3,4,4,4,4,만족
91,1,6,4,2,2,2,3,2,2,1,5,3,Y,4,8,2,0,154000,1,154000,0,6,대전광역시,0,N,Y,N,Y,Y,5,2,8,4,9,4,4,4,4,4,4,9,4,4,4,4,4,만족
92,1,3,4,2,2,1,3,1,1,1,3,2,Y,4,1,4,1,425000,2,212500,0,16,경상남도,3,Y,N,N,N,N,1,2,1,5,5,4,5,5,4,4,9,9,3,3,4,4,4,만족
93,2,3,4,1,2,1,4,1,1,1,3,4,Y,4,2,4,0,205500,2,102750,0,3,대구광역시,0,Y,N,N,N,Y,1,9,13,5,9,5,4,9,4,5,9,9,4,4,4,5,4,매우만족
94,1,3,4,1,2,1,3,1,1,1,4,4,N,5,2,4,0,80000,2,40000,0,16,경상남도,0,Y,Y,N,N,N,1,8,12,9,4,4,5,4,4,4,5,9,4,4,5,5,4,매우만족
96,1,4,4,1,2,1,3,1,1,1,5,3,N,5,2,4,0,50000,2,25000,0,7,울산광역시,0,Y,Y,Y,N,N,1,8,1,5,9,4,4,5,4,4,5,9,4,5,4,4,4,만족
98,1,4,4,2,2,1,2,1,1,1,5,3,N,5,12,4,0,100000,1,100000,0,1,서울특별시,0,Y,Y,N,N,N,1,14,1,5,5,4,5,9,4,4,3,4,3,4,4,4,4,만족
